,loss,mse,mae,mape,rmse
453,0.010798473842442036,0.0001332394895143807,0.004868741147220135,1447344.75,0.011542941443622112
454,0.010766305029392242,0.0001339270529570058,0.004847092553973198,1433582.125,0.011572686024010181
455,0.010737171396613121,0.0001428414834663272,0.00521076051518321,1508054.125,0.011951630935072899
456,0.010700149461627007,0.0001341671886621043,0.004986984189599752,1466568.375,0.011583056300878525
457,0.010667260736227036,0.00013282772852107882,0.004827465396374464,1416849.875,0.011525091715157032
458,0.010637203231453896,0.00013931284775026143,0.005125302821397781,1449371.5,0.011803085915744305
459,0.010606840252876282,0.0001443401852156967,0.005352956708520651,1516581.875,0.012014166451990604
460,0.010571937076747417,0.00013618104276247323,0.005019503179937601,1461956.75,0.011669663712382317
461,0.010538901202380657,0.0001319605071330443,0.004817884415388107,1421809.125,0.011487406678497791
462,0.010515231639146805,0.00014766665117349476,0.005422976799309254,1523904.125,0.012151816859841347
463,0.010487408377230167,0.00015137263108044863,0.005681460723280907,1562131.375,0.012303358875215054
464,0.010451406240463257,0.00013494488666765392,0.00497477687895298,1443652.375,0.011616578325629234
465,0.010423212312161922,0.00013485123054124415,0.005007327534258366,1464725.75,0.011612546630203724
466,0.010394207201898098,0.00013438414316624403,0.004950016271322966,1432771.25,0.011592417024075985
467,0.010365265421569347,0.00013521660002879798,0.005006331019103527,1462494.875,0.011628267355263233
468,0.010334662161767483,0.0001332503743469715,0.004871230572462082,1434344.75,0.011543412692844868
469,0.010303529910743237,0.00013165076961740851,0.004889005795121193,1441416.875,0.011473916471004486
470,0.010273471474647522,0.0001328422804363072,0.004895919468253851,1403445.5,0.011525722220540047
471,0.010243860073387623,0.0001354897249257192,0.005090884864330292,1464933.75,0.011640005744993687
472,0.010212153196334839,0.00013401461183093488,0.004981739446520805,1438316.125,0.011576468124985695
473,0.0101851811632514,0.00014155938697513193,0.005316132213920355,1515988.625,0.011897873133420944
474,0.010150090791285038,0.000129033942357637,0.004768719431012869,1389079.375,0.01135931070894003
475,0.010126909241080284,0.0001400019827997312,0.005150263197720051,1479581.375,0.011832243762910366
476,0.010093719698488712,0.00013015195145271719,0.004766800906509161,1369025.0,0.011408415623009205
477,0.0100673483684659,0.00013484811643138528,0.005111119244247675,1458888.625,0.01161241251975298
